TURN	UTTERANCE	DA	EMOTION
Ses05F_impro08_F020	you do the direct the direct it um it's taking right out of your bank account, correct?	q	neu
Ses02F_impro06_M011	but look at the--he--look at the life he did get to lead.  i mean, for his age, he'd done so much and--	s	neu
Ses05M_script01_1_F029	no.  i don't want a - look, your father thinks he's coming back, chris.  you marry that girl and you're pronouncing him dead.  now, what's going to happen to your father; do you know?  because, i don't.	ans	fru
Ses01M_script02_2_F013	because they never do.  do they, have they ever?	q	ang
Ses02M_script01_3_M002	why?	q	xxx
Ses04M_impro02_F021	a week.  you're giving me a week to be okay with this.	q	ang
Ses03M_impro05a_M015	what am i going to do tomorrow without the urn?	q	xxx
Ses02F_impro08_F014	yeah.	b	neu
Ses05M_impro01_M014	come on!  you know - you can't just take - make a little exception to the rule?  i know that you guys make exceptions.  i see - you know, if i was-if i was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?	q	fru
Ses01F_script01_1_F042	just don't think like that.	c	ang
Ses05M_script03_2_F000	oh you knew there was nothing in that.	dag	xxx
Ses02F_impro04_M001	no.  you can't think that way.  i mean it's good--it's good that you're--that you're calling, you know. you can't	o	neu
Ses05M_impro08_F007	hmm. mmm.	ans	neu
Ses04M_script01_3_F016	like larry's brother.  do it like you, chris.  what is it, chris?	q	xxx
Ses02M_script02_2_F009	twice is every time we've tried, that's ever.	s	fru
Ses03F_impro06_M000	how you doing?	q	neu
Ses04F_script01_1_M012	we've got to say it to him.	c	ang
Ses02M_script03_2_F010	i don't see why you want any you've already had two glasses.	s	xxx
Ses01M_impro05_F009	i've been here for sixteen.	s	xxx
Ses03M_impro03_M004	okay we were at chuck e. cheese.	ans	exc
Ses04F_impro01_F011	i have been waiting for over an hour.	s	fru
Ses02F_impro02_F012	i don't want you in danger.  and i don't want her in danger.	o	sad
Ses04F_impro04_M018	are you i mean do you like get dressed up and everything when you go to the job interview?	q	neu
Ses01F_script01_1_F013	it's that the trouble is those god damn newspapers.  every month some new boy comes back and so the next one is going to be larry, they just--	s	xxx
Ses01F_impro03_F025	we renamed brenda, lumber janet.	s	hap
Ses05F_script03_1_F012	don't laugh at me; i'm serious.	c	xxx
Ses05M_script02_1_M011	are you kidding?  we just got here, we'd miss it.  what's the point of coming all the way out here if we're just going to turn around and go home?	q	xxx
Ses02M_script03_2_M020	it's a pity you didn't have any more brandy it might have made you a little less disagreeable.	o	xxx
Ses03M_impro04_M018	-they're evicting me from my apartment.	s	fru
Ses02F_impro06_M016	no, you'll never forget him.	dag	neu
Ses05F_impro02_F001	um.	b	sad
Ses01M_impro03_M025	good.	a	xxx
Ses05M_impro03_M033	thank you.	g	hap
Ses04F_impro08_M021	cinnee?	q	xxx
Ses05M_script02_2_M001	what i was just saying.	ans	exc
Ses03F_impro03_M009	oh-	b	sur
Ses02M_script03_2_M025	i imagine you let him kiss you good deal more then.	o	xxx
Ses04M_script03_2_M031	they snap.	dag	ang
Ses01F_script02_1_M003	no.  that's just foam.  i don't know.  i can't tell.	s	xxx
Ses02F_script01_1_F021	i'm just saying that--	s	neu
Ses05M_script03_1_F024	i know you did.  you threw it out the window into the canal below.  i don't think i'll ever forgive you for that.	ag	exc
Ses05F_impro07_F030	[laughter] by yourself.	s	exc
Ses03F_script01_3_M038	and i came back here and it was incredible. there was no meaning in that here. the whole thing to them was a bus accident.	s	sad
Ses02M_impro01_F011	well, i'm sorry, sir, but we're not responsible.	ap	fru
Ses04F_script02_2_F015	you don't understand anything i'm saying.	s	fru
Ses03M_impro02_M031	what do you mean?	q	sad
Ses02F_impro01_F002	well, i have my driver's license, does that work?	q	xxx
Ses02M_impro05_F011	i understand that. um so i'm going to put down here that you looking for your baggage, but we actually can't, uh this bag is likely not going to show up so what we're going to do-	s	neu
Ses03F_script01_1_F024	yeah, well i ignore what i got to ignore.	ag	fru
Ses05F_impro01_M021	i don't know who told you that but they were wrong.  i'm sorry.	ap	fru
Ses03F_script01_1_M048	yes. on this i would.	ans	neu
Ses04F_impro07_M079	i hate to break this to you but you meet people by being cool, so-	o	neu
Ses02M_impro01_M015	i cannot go back in that line. i've got stuff i need to do, i mean-	s	fru
Ses02M_impro03_F022	yeah. [laughter]	ag	xxx
Ses03F_impro07_M006	a chocolate cake?	ans	xxx
Ses02M_impro08_M014	we could mail it to you as well, but-	s	neu
Ses03F_script02_2_F051	i'm sorry, augie.	ap	sad
Ses01F_script01_2_F006	she is not his girl.  she knows she's not.	s	ang
Ses01M_impro07_M026	yeah we have like away games and stuff.	ans	neu
Ses05F_impro07_M003	so you're not going to leave me.	q	exc
Ses05M_impro03_F012	oh, right. sure [laughter]	ag	hap
Ses05M_script01_1_F019	well, you want to make sure that your father isn't --	ans	xxx
Ses03M_script03_1_F002	what are you going to do?	q	xxx
Ses04M_script02_1_F007	it's after eleven; let's go home.	s	ang
Ses04F_script02_1_M026	like the swallows returning to capistrano or the lemmings throwing themselves off the cliffs, like that.  there's mystery here and magic	s	exc
Ses04M_impro02_F024	fine, fine.  we have to be together.  if you can't stay here, then i'll go with you.  i don't care where you go.  we'll go, too.  i'm not staying behind.	o	xxx
Ses01M_script02_2_M001	...to this spot for this massive celebration of like sex and death...	s	exc
Ses04F_script01_2_F000	why did he invite her?	q	ang
Ses02M_impro07_F028	and we'll explore and you going to have such a good time, you're going to fit in so well, it's going to be awesome	o	hap
Ses04M_impro03_F007	yeah, it is.	ag	exc
Ses01M_script03_2_M038	amanda listen. listen.	c	ang
Ses04F_impro02_F000	yeah.  they just called.	ans	sad
Ses05F_impro06_F002	metastasized and it was old and they knew that it wasn't looking good, but-	s	sad
Ses01M_script02_2_M031	what?  what?  you want to divorce?	q	fru
Ses03M_impro03_M016	so okay then and.	b	hap
Ses02F_script03_2_F004	just a little perhaps, nothing serious.	ans	xxx
Ses05M_impro07_M031	that would be perfect.	o	exc
Ses02F_script01_1_M003	i don't know.  when it cracked, he ran back in the house and cried in the kitchen.	ans	xxx
Ses01M_script02_2_M004	about what i was saying.	ans	xxx
Ses01M_script02_1_M015	what's wrong?  are you okay?  huh?  you cold?	q	xxx
Ses05M_impro01_M001	what do you mean?  i filled out my forms and i rushed to get my i.d.	s	xxx
Ses05F_impro03_MXX0	yeah.	ag	-
Ses05F_impro03_F052	yeah, i think so.  i mean, not for a while.	ans	xxx
Ses02F_impro07_M008	yeah	b	exc
Ses04M_script01_3_M032	there was no meaning in it here.  the whole thing to them was some sort of bus accident.  then i went to work for dad and that whole rat race again.  i felt, what you said, ashamed somehow	s	sad
Ses05F_impro03_M024	oh, okay.	ag	xxx
Ses05M_impro07_F008	that's awesome.	o	hap
Ses01M_script02_1_M026	why not?	q	fru
Ses03M_impro08a_F017	that's ridiculous.  you know?	o	fru
Ses01M_impro03_M008	yeah.  can you believe that? yeah, she's like hey, i'm like sure i'll do it, i don't care. yeah. i'm like fifty thousand dollars, i'd totally do it for fifty thousand dollars. but the only thing is that's kind of like illegal. so like i could go to jail probably for a long if i get caught, but...	ans	exc
Ses04F_script03_2_F022	i don't care, okay.  do you understand?  i don't care.  i don't mind if they bark and roll about like hoops.	o	ang
Ses02M_script03_1_F022	oh charles, that was his name charles. it did wiggle so beautifully.	s	hap
Ses04F_impro04_F012	well don't you understand that this is-	q	fru
Ses05F_impro05_F022	right, but part of the agreement is that i'm paying so that i can take myself and my belongings with me.	s	ang
Ses04F_impro07_M027	right.	ag	xxx
Ses05M_script02_2_F020	[laughter] no.	ans	xxx
Ses05F_script01_3_M034	and then i went home and it was incredible.  it had no meaning here.	s	sad
Ses05F_script01_1_F036	must you be inspired?	q	xxx
Ses02M_script02_2_M034	right.	ag	xxx
Ses01M_script03_1_F037	scratching and biting like panthers. [laughter] oh...	s	hap
Ses03M_impro08a_M002	okay.  can you give me the last four digits of your social security number so i can verify who i'm speaking with?	q	neu
Ses02F_impro08_F001	all right, sir.	a	neu
Ses03F_script01_3_M034	i mean, that's-that's only a little thing, but that's the kind of guys i had. they didn't just die. they killed themselves for each other. and i mean that exactly. a little more selfish and they'd still be here today.	o	sad
Ses05F_script02_1_F007	it's after eleven, let's go home.	s	neu
Ses01F_impro06_F000	it's okay.	a	xxx
Ses02M_script01_1_M019	no it's not only my business.	dag	fru
Ses03F_impro04_F026	[breathing]	oth	fru
Ses01F_script01_1_F040	well you don't want to think like that.	c	fru
Ses04F_impro01_F021	i don't need to be.  i need to go and do other things with my time.  okay.	s	ang
Ses03M_impro01_F005	no i can't just transfer it myself sir.  you got to do this.  everyone else is doing the same thing.	ans	fru
Ses04F_impro02_F006	do you think i want to leave you?	q	sad
Ses03M_impro05b_M015	of course i had my name tags on the luggage.	ans	ang
Ses04M_script02_2_F032	i didn't say that.	dag	sad
Ses01M_impro05_M008	you work here.	s	ang
Ses05F_script02_1_M008	well, i hope the moon stays out.  well, i wonder do they always wander during a full moon?  i can't remember, wasn't it full last year?  do you remember?	q	xxx
Ses03F_impro02_M023	what am i supposed--oh, one out of five people aren't coming back.	s	xxx
Ses01M_impro04_F002	what do you mean?	q	neu
Ses05F_impro06_M009	yeah.	b	sad
Ses04F_impro07_F042	alright.	ag	exc
Ses01F_script01_2_M016	look at you, you're shaking.	s	xxx
Ses03F_impro05_M009	up to a limit of twenty five dollars.	ans	neu
Ses01F_script03_2_M003	it was bristling with diamonds.  in the worst possible taste, too.	s	xxx
Ses04F_script03_2_M006	what of it?	b	ang
Ses04M_script01_1_M042	i know that.  just you help me stay here.	ag	fru
Ses01F_script01_2_M015	i know. all right, all right. all right. okay.  calm yourself. what does that mean, me above all?	q	fru
Ses02M_script03_2_F025	mind your own business.	c	xxx
Ses02M_impro07_F014	no but that's an awesome school. that's so cool.	o	hap
Ses05F_script03_2_F030	there aren't any people upstairs; it's a photographer's studio.	s	ang
Ses04F_script02_1_M019	why not?	q	xxx
Ses02F_script03_2_M006	what of it?	b	ang
Ses05F_script01_3_M018	i kissed you.	s	xxx
Ses04M_impro05_F016	i'm very sorry.	ap	fru
Ses02M_impro05_F010	right.	b	neu
Ses01F_script03_1_F019	i think you are talking nonsense.	o	xxx
Ses01F_script02_2_F002	i think it's ridiculous.	o	xxx
Ses02M_script01_2_F008	she knows what i know, that's why. she's faithful as a rock. in my worst moments i think of her waiting and i know again that i'm right.	ans	fru
Ses01M_impro02_M013	i guess you're just going to have to have it without me.	ans	sad
Ses04M_impro01_F008	i'm sorry.  you have to do things the way you have to do things here.  we have rules.	s	fru
Ses04F_impro07_M009	i know but you should get like a taser or something.  i mean walking around the campus at night-	ag	neu
Ses03M_impro04_F009	well, what do you...what would ideally like to do, you know?	q	xxx
Ses04M_script01_1_F028	the trouble is, you don't see enough women.  you never did.	o	neu
Ses04F_impro07_M058	i mean, like, i don't know.  i'm just saying if you need to make some extra cash.  you can, you know	s	neu
Ses04F_impro03_F020	no.  no browns.	s	xxx
Ses05F_script03_1_F006	behave exquisitely.	ans	exc
Ses05M_script03_2_M042	oh, you're not going like this.	dag	ang
Ses05M_script01_2_M012	calm yourself.	c	fru
Ses01F_script01_3_F028	yeah, sure.	ag	neu
Ses03F_impro06_F027	kelly. kelly uveny.	ans	sad
Ses03F_impro01_M008	well, you didn't fill this paper at work out right and it's going to take another fifteen minutes to do it and look at how long the line we got here so just-	s	fru
Ses05F_impro03_M005	no way, when? when,when, when did it happen?	q	exc
Ses02F_script02_1_M010	right, of course.  our flashlight.  mine and yours.  i mean, me flashlight is su flashlight naturally.	ag	neu
Ses03F_impro07_MXX1	uh-huh.	b	-
Ses05F_impro04_M039	you can't get a catering gig?  well, i can call some friends.  i well, i did call some friends before, but you went in once and then never went back.	s	neu
Ses02F_script02_1_F021	about what?	q	neu
Ses02F_impro02_F004	well, we can do the best we can and-and, with um, you know like wireless internet these days--i think that we could- talk every once in awhile.	o	sad
Ses05M_script01_2_M005	now listen.	c	fru
Ses01M_impro04_M001	it's--i've been trying to find this job i can't get any job.	ans	fru
Ses01M_impro04_F013	well, you know a little.  if you were to listen to--	ans	neu
Ses01F_script02_1_M021	wait, that's my point, too.	s	neu
Ses05M_impro02_F023	okay.	ans	sad
Ses05F_impro06_F027	[breathing]	oth	sad
Ses05F_impro07_F035	we should go apartment shop-er-hunting.	o	exc
Ses04F_impro04_M021	you know what i mean? you know, it's like they say presentation is, like eighty percent.	o	neu
Ses04M_script01_1_M036	i've been a good son too long; a good sucker.  i'm through with it.	ans	fru
Ses03M_script01_1_F037	are you crazy?	q	xxx
Ses01F_script02_2_M012	i thought you wanted to see it.	o	xxx
Ses01F_impro04_F020	..i just-..i just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.	o	xxx
Ses02F_impro03_F011	cause 'cause he was with me. you didn't do it did you?	q	exc
Ses04F_impro02_M022	yes you don't have to go.  what are they going to do?  huh?  put a gun to your head?	dag	xxx
Ses03M_impro01_M016	i'll have a license.	ans	fru
Ses02M_script03_1_F001	well, nobody knows we're here except freda and she wouldn't ring up.	s	xxx
Ses03F_script02_2_M023	do you want to get married again? what? what? do you want to get a divorce?	q	fru
Ses02M_impro06_F018	yes.	b	sad
Ses05F_impro04_F012	no, i don't i don't want to accept that.  i think that's bullshit.	dag	fru
Ses04F_impro07_F063	social life.  hello.	s	exc
Ses01M_script03_1_M007	[breathing] [laughter]	oth	xxx
Ses04F_impro05_M004	i understand that ma'am.	ag	xxx
Ses03F_script03_1_M000	oh.	b	xxx
Ses01M_script01_3_M035	you know.  i went to work with dad and i started that whole rat race again...	s	sad
Ses01F_impro04_M007	you did?	q	neu
Ses03F_impro06_F012	so wrong in so many ways.	o	sad
Ses05F_impro02_M017	they're six months old. six months old, they're tiny.	s	xxx
Ses05M_script01_1_F013	to you it is and to me, but not to him.  now you can talk yourself until you're blue in the face, chris, but there's no body and there's no grave.  so where are you?	q	fru
Ses03M_script01_3_M045	annie i'm going to make a fortune for you.	o	hap
Ses05M_impro08_M026	great.  well, that makes me very happy.  that makes us all happy here at d.s.l. extreme.  is there anything else i can help you with?	q	hap
Ses05F_script02_2_M027	no, no i was just like you, i thought it will be all peaches and roses and and sand in our toes and wind in our hair and the fish will always come. and the bills will always magically pay themselves and we will have three fat rosy kids and we will be, haha baby the joke is on us.	o	fru
Ses01F_script01_3_M031	and i had this idea as i was watching them go down.  everything was being destroyed, you know, but this one thing was being made.  it was kind of a monument, it's kind of responsibility, man for man.	s	xxx
Ses02F_impro01_M011	i make an exception for you and i have to make an exception for everyone.  i mean, i-i've seen this before and i know it's frustrating, but there's nothing i can do. you just have to-	o	fru
Ses03M_script01_2_F005	what's going on here joe?	q	xxx
Ses02F_script01_3_M014	anne, why didn't you let me know?	q	xxx
Ses02M_impro08_M006	alright. well you got me now.	ag	xxx
Ses04M_impro05_M020	i'm going to get very upset.  like, i mean, i'm i'm upset right now but i'm going to get really upset if you if you don't do the check thing.	o	xxx
Ses02F_impro07_M033	but it's la, you know, everything.	s	xxx
Ses05M_script03_2_M016	nothing.  are you going out somewhere, darling?	q	fru
Ses03F_script01_2_M014	huh?	q	ang
Ses04F_impro03_F031	maybe	ans	xxx
Ses04M_script03_2_F043	we swapped. listen.	c	neu
Ses02M_script01_2_M014	all right. all right. calm yourself.	c	fru
Ses04M_script02_1_M031	they're swimming right now as if that's the only thing that matters.  it's single mindedness with no mind.  urgency that's pure urge.	s	exc
Ses05F_impro03_F046	i have to think about moving now.  we're going to move in together	s	hap
Ses05F_script02_1_M012	you want my jacket?	q	exc
Ses03M_impro05a_F025	i am the manager sir.	s	neu
Ses01M_script02_2_F020	we thought i was pregnant we had this bottle of champagne but no glasses.  you asked me to dance so we took off our shoes.	s	xxx
Ses04M_impro02_F022	well it doesn't seem like you're that bothered by it.	o	fru
Ses03M_impro07_M013	i have some bad news.  i was like what?  she's like not really you got into u.s.c. and i was like, i was like oh my god.  i was about to tear my own hair out.	s	exc
Ses02M_script02_2_M042	what have we got here?	s	hap
Ses02F_impro08_F025	yeah--i completely understand.  it's a difficult process sometimes and we want to make traveling as easy as possible.	ag	neu
Ses03F_impro03_F015	oh, yeah. everyone--yeah. and people--friends of ours were in the audience, i didn't know about, like family members.	ans	hap
Ses05M_impro03_M010	and i pop up out of the water - and i had planned it already, you know? i pop up out of the water and i [breathing] and i like, grab her hand, you know.  and that in my hand, i've got the ring.	s	hap
Ses03M_impro04_M010	biomedical engineering.	ans	fru
Ses01F_script02_2_F012	i feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  and the fish never show up.	s	fru
Ses04M_script03_2_M023	oh.  that reply has broken my heart.	s	fru
Ses05F_script03_2_F008	i'm growing quite tired and bored of this conversation.	o	fru
Ses04M_impro04_M013	this is stupid.	o	fru
Ses01M_impro01_F002	this is... your last your first name is jones?	q	xxx
Ses04F_script03_2_M028	i think i mentioned once before that i had three minute liquor glasses of brandy the whole evening long.  a child of two couldn't get drunk on that.	o	fru
Ses03M_impro04_M001	i've been looking for like eight months.	ans	fru
Ses05F_impro07_F014	can we for real live together?	q	exc
Ses03M_script02_2_F006	look, we just have different ideas of what this night is supposed to be like.	o	xxx
Ses05M_script01_1b_M018	so it isn't just my business?  you infuriate me sometime, you know that.	o	xxx
Ses02F_impro05_F005	fifty dollars?  for my suitcase?  i mean, the suitcase itself was like a hundred and fifty dollar just for the suitcase, but all the things inside, all my clothes, all my personal belongings, the sentimental value, not to mention, which is more-more than all of that together.	s	sur
Ses05F_script03_1_F001	freda is the only one who knows we're up here, and she wouldn't call up.	s	xxx
Ses01F_script01_3_M016	give me a...	c	hap
Ses02M_script01_3_F021	it wouldn't work this way.	s	sad
Ses03M_script01_3_F028	yeah, sure.	ans	xxx
Ses03M_script01_3_F006	look	c	sad
Ses03F_impro01_F005	excuse me? no, no. i waited in the line over there..	s	fru
Ses01F_script01_1_M038	i want some kids, i want a family, i want somebody that i can give myself to and annie is in the center of that.  now it's just where to find it.	o	fru
Ses03M_impro06_F003	yeah.	ag	sad
Ses04F_impro02_M002	i don't see [breathing]	s	fru
Ses05M_impro03_M019	oh, she's back at work. yeah.	ans	neu
Ses02F_script02_2_M031	no, carla, i'm just like you.  i thought it was gonna be all peaches and roses and sand in our toes and wind in our hair and the fish will always come and the bills will pay themselves and we'll have three fat rosy kids and ha, ha, baby, the joke's on us	o	sad
Ses05M_impro07_F034	how are you going to pay for school? did did you--?	q	xxx
Ses01F_impro05_F027	sean.  great. do you have a badge number or something?	q	xxx
Ses05F_impro05_M043	well, you can take my stinking fifty dollar voucher and go home and wait and see if your luggage turns up. and if it does, then we'll deliver it to you.	ans	fru
Ses02M_script01_2_M004	how do you know he's even thinking of it?	q	neu
Ses05M_script03_1_F025	it went on intermittently for days.	ans	xxx
Ses05F_impro07_F019	that happens. that happens at time	o	xxx
Ses05M_impro01_F004	no, but this is for um replacements and you need a new - whole new license as a california --	ans	neu
Ses05F_script03_2_M021	nonsense, they have a little bag of venom behind their fangs and they snap.	dag	xxx
Ses01M_impro04_M022	[breathing]	oth	fru
Ses05F_impro05_M039	well, i have no way to give you more money.  i'm giving you as much money as i can, and figuring as far as figuring out where you bag is-	s	neu
Ses04F_script03_2_F005	what of it?	q	ang
Ses04F_script01_3_F000	you're the only one i know who loves his parents.	s	xxx
Ses05F_script01_2_F014	only last week, another boy turned up in detroit, been missing longer than larry, you read it yourself.	s	ang
Ses01M_impro06_F011	yeah.	b	neu
Ses01F_script03_1_F001	freda is the only one who knows we are here.  she wouldn't ring up.	o	fea
Ses03M_impro03_F021	okay, that is really cheesy joe.	o	hap
Ses02M_script01_1_F023	you're a considerate fellow.  there's nothing wrong with that.	o	neu
Ses05F_impro07_M001	shut up.  what'd you get, where'd you get accepted to? please	q	exc
Ses02F_impro07_F009	and like- the football team--and like all the-...you what i mean, like...	s	exc
Ses04M_impro07_M024	yeah, yeah.  but um, so, yeah.  so it's pretty sweet, huh?  you should go there, too.	o	xxx
Ses05M_script01_1_F012	how are you gonna prove it?  can you prove it?	q	fru
Ses04F_script03_2_F016	the woman's job is to allure the man.  watch me a minute will you.	o	fru
Ses01M_impro07_F021	do they have a--is it a co-ed softball team?  i mean... really? you know, i didn't even know that they have that.	q	exc
Ses02F_script02_2_F039	okay.  fine so.  we're in the wrong spot, but we're with the right person.	o	xxx
Ses01M_impro07_F032	oh, cool.	ag	xxx
Ses02F_script03_1_F010	yes, meaning just that.	ans	hap
Ses05F_script01_2_M016	what do you mean me above all?  look at you.  you're shaking!	s	ang
Ses02M_impro03_F024	golly, it just makes me all like romantic inside, like i really want that to happen to me. [laughter]	o	exc
Ses04F_script02_1_M010	are you cold?  do you want my jacket?  we should have brought the blanket, our blanket.	s	neu
Ses02F_script03_2_M027	i'm not in the least drunk.	dag	ang
Ses02M_script01_1_M021	see it isn't just my business-	s	ang
Ses05M_script03_2_F044	pig	o	ang
Ses03M_impro07_M015	oh my god the first minute i got it i sent it back in.	ans	exc
Ses04M_impro07_F017	well congratulations.	s	exc
Ses04M_impro08_F018	i have to wait a few weeks for people come go through my things to get the money back that i didn't spend?	q	fru
Ses04F_script01_1_F009	what?	q	sur
Ses01M_script03_1_M017	you mustn't be so serious, darling, it just what they want.	o	hap
Ses03M_script01_3_M028	well i lost them.	s	sad
Ses04F_script01_1_M034	i've given it three years of thought.  i hoped that if i waited, dad would forget about larry	s	ang
Ses05M_script03_2_M043	[garbage] no, you're not.	dag	ang
Ses02F_script02_1_M014	this is great, isn't it?  a six pack would be just the ticket right now.	s	exc
Ses02M_script02_2_M023	take off our shoes?	q	neu
Ses03F_impro06_F004	he had cancer, you know?	s	sad
Ses02M_script03_2_M017	that reply has broken my heart.	s	xxx
Ses01F_impro05_F003	i flew in over three hours ago, i've been in four different lines.	s	fru
Ses02M_script03_2_M029	i imagine, as i may have already mentioned, i've had three minute liquor glasses of brandy the whole evening long a child of two couldn't get drunk on that.	o	xxx
Ses03M_impro05a_F003	okay.  sir?  can you...if you just give me one moment and let me just check okay?	q	fru
Ses01M_impro01_F028	so you're not going to send me a thank you card, is that a problem? is your are not going...	q	xxx
Ses01F_impro04_M005	he's like a manager for a theatre.	ans	neu
Ses02M_script01_1_F036	tell me, you'd leave the business?	q	ang
Ses05F_impro04_F035	it's just like it's a matter of-	ans	fru
Ses03F_script03_1_M021	i don't care what you do, see? as long-you can paint yourself bright green all over and dance naked in the place vendome and rush off madly with all the men in the world and i shan't say a word as long as you love me best.	o	xxx
Ses02M_impro07_F021	yes, it's intimate.	o	hap
Ses02F_script01_2_M015	what? why why me above all?	q	xxx
Ses05M_script02_1_M001	what's that? is that wait, is that foam?  i can't even tell.  oh actually, i guess if i can't tell then it probably isn't it, is it?  it will probably be unmistakable, don't you think?	q	exc
Ses04M_script03_1_F009	it's true.  the whole business is a very poor joke.	o	exc
Ses04F_impro03_F006	you think. [laughter]	ans	exc
Ses01M_impro02_M011	i just got i feel like i'm in shock actually.	o	sad
Ses04M_script01_1_M044	no, you don't.  i'm a pretty tough guy.	ans	fru
Ses04F_script01_3_M032	i put them in my pocket. that's only a little thing but these are the kind of guys i had.	s	sad
Ses05F_script02_1_F003	it's ours our flashlight.  it's yours and mine.	ans	xxx
Ses05F_impro02_M031	i jus-	b	sad
Ses04M_script03_2_M021	nothing.	ans	ang
Ses03F_impro02_F041	i didn't expect this to happen. i never planned for this. some things you just don't plan for, you know.	o	sad
Ses01M_impro01_M029	people like me, what is that supposed to mean?  you know, this is ridiculous.  is there like a manager here, is there someone else that i can talk to?	q	xxx
Ses01F_script01_3_M004	what?	q	neu
Ses03F_impro02_M011	oh	dag	fru
Ses05F_impro07_M012	it is going to be so much fun. yes.	o	exc
Ses05F_script03_2_M035	it is not time of year for tunis.	o	xxx
Ses03M_script02_2_F030	no...	s	fru
Ses02F_impro05_F018	there needs to be better security here.	o	fru
Ses01F_impro06_F019	yeah.	ag	neu
Ses05F_impro05_M053	you have a wonderful day.	s	neu
Ses02M_script02_1_M010	no. no. of course our flashlight yours and mine. mi flashlight, es su flashlight, naturally.	ag	xxx
Ses03F_impro07_M021	i got into film school at the art academy.	ans	neu
Ses04F_impro03_F018	okay.  it's going to be in, like, six months.  so we don't have a really long time.	s	exc
Ses04M_impro02_F019	can't you just make an effort?  can't you just try?	q	fru
Ses01M_impro04_M015	okay.  you're my friend you can tell me stuff.  you can tell me honestly stuff, okay?  please.	c	fru
Ses03M_script03_1_F015	shall we always want to bicker and fight?	q	xxx
Ses05M_script01_1b_M022	what to hell with that!	dag	ang
Ses01F_script01_1_M036	the business?  the business doesn't inspire me.	ans	fru
Ses04F_impro04_F003	and i have gone everywhere i can think of.  i have given resumes.  i have done interviews.  i've tried to pull in favors.  i've asked everybody i know for help.  i don't know what else to do.	s	fru
Ses02F_impro03_F002	don't look at my left hand.	c	xxx
Ses03F_impro02_M014	i have to work.	s	sad
Ses02M_script03_2_M012	you can hardly call three liquor glasses in a whole evening going on and on and on.	o	neu
Ses05F_script01_1_M005	i could hear him right through the floor of my room.	ans	sad
Ses01F_script03_2_M010	i'll have a little, i think.	s	neu
Ses02M_impro03_F016	did you bring her up on stage too?	q	exc
Ses05M_impro07_F037	yeah.	ag	exc
Ses02M_impro03_M030	yes, well, thanks, thanks. thank you. yeah	g	exc
Ses05F_script03_1_F011	meaning exactly that.	ans	neu
Ses02F_script03_1_M034	as a matter of fact, the real cause of that row was peter burden.	s	neu
Ses05F_script02_1_F002	it's not your flashlight.	s	fru
Ses02M_script01_1_F002	when?	q	xxx
Ses01M_impro01_M007	i have it right here, yes.	s	fru
Ses03F_script01_3_F029	yeah, sure.	ag	sad
Ses03F_script02_1_F004	yes.	ans	xxx
Ses04F_impro02_M005	you don't know that.	o	fru
Ses01F_impro06_F015	couple hours.	ans	sad
Ses02F_impro08_F027	thank you.	g	neu
Ses01M_impro03_F015	yeah.  my colors are blush and beige what is it, do you know?	q	exc
Ses03F_impro06_F007	he was amazing.	o	sad
Ses02M_script01_2_M005	well, so what?	q	neu
Ses05F_script01_3_M039	i i want you now, annie.	ans	exc
Ses03F_impro07_F028	yeah. i'll get like one of those little--	s	exc
Ses01F_script02_2_M025	then what?	q	xxx
Ses05F_script03_2_F019	adder don't snap, they sting.	dag	ang
Ses02M_impro07_F002	oh, u.s.c.? oh my gosh, that's awesome, that was your top choice, right?	q	sur
Ses01F_impro06_M013	oh, so they're like really old too, really old ones?	q	neu
Ses02M_script01_3_M012	and he's gone forever.  you're sure?	q	xxx
Ses04M_script01_3_M037	annie, annie, i'm going to make you a fortune.	o	hap
Ses03F_impro07_M028	no, i'll sleep in your bed. cuddle up.	s	exc
Ses01M_impro06_M022	he was a really, really good guy.	o	sad
Ses05M_impro07_F040	the way to do it.	o	neu
Ses02M_script02_1_M014	oh, a six-pack, that's, should've brought a - a six-pack be just the ticket right now. how could i forget	s	exc
Ses02F_script03_1_M022	let's be superficial and pity the poor philosophers.  let's blow our trumpets and squeakers and enjoy the party as much as we can.  like quite idiotic, very small school children.  let's savor the delight of the moment.	o	exc
Ses05M_script01_2_M001	well, maybe maybe he just wanted to see her again.	ans	neu
Ses04M_impro08_F009	i did not make the calls from b.f.e. nebraska.	ans	fru
Ses04M_script03_1_M010	meaning that sacred and beautiful thing, love?	q	neu
Ses03M_impro03_F006	oh, i don't remember.  everybody says i love you with drew barrymore...no you haven't seen it?  okay.	s	exc
Ses02M_impro06_F001	oh my god. oh my god, i'm so sorry.	ap	sur
Ses03M_impro08a_F030	a law firm.  thank you very much.	g	fru
Ses02F_impro06_F011	i'm gonna forget him.	s	sad
Ses05F_impro03_F030	knowing the neighborhood.  yeah, it's pretty bizarre.	o	hap
Ses02M_script02_2_F011	i mean i feel like my whole life is going to be spent standing on the beach waiting for the fish to show up with my eyes open and my hands clasped expectantly and the fish won't show up.	o	ang
Ses04F_script02_2_M024	take off our shoes?	q	xxx
Ses05M_script03_2_M035	this is no time of the year for tunis.	o	ang
